"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",-141.03,-23.769,-9.427,5.8684,-2.1545,-7.8572,18.481,-15.072,-39.054,-7.7377,8.3657,0.28047,-18.383,24.555,-15.592,-15.229,4.5821,-21.376,-17.495,-23.535,-22.383,-8.6747,19.888,-9.5738,26.503,-5.3009,16.572,15.761,39.663,5.0515
"2",-162.31,-42.731,-40.569,-67.174,-4.1268,-2.1506,27.48,-39.123,0.34917,20.02,41.386,-8.1246,-6.0513,-9.6993,-47.576,-34.625,-29.996,24.597,-42.986,-23.771,-37.801,-56.912,20.206,-26.221,-54.202,-7.6153,11.672,18.601,39.431,-0.81519
"3",-124.7,6.0478,-35.991,-26.268,-20.148,-35.209,8.4753,-30.119,4.0237,13.3,-4.5593,-9.5556,-1.4368,3.5928,-15.004,-5.4907,-16.731,-4.8708,-7.1481,-2.6388,-31.698,-11.864,28.767,23.716,24.592,-14.671,-9.1887,9.4594,6.4156,4.0789
"4",-103.2,-9.8393,-66.144,-70.446,-0.84552,-15.294,12.793,-23.129,19.414,-9.3159,1.6032,0.1504,1.9566,-20.856,-19.299,-35.224,-12.072,-21.127,1.7059,14.534,-25.269,-26.514,-3.6799,17.139,1.7945,-12.159,-0.7261,27.824,16.433,-11.639
"5",-87.969,-48.707,-44.548,-50.03,15.049,-18.333,-5.5887,-4.9377,-23.664,-4.3541,2.1651,0.18559,-1.0102,-26.05,0.50505,-22.744,32.534,-15.282,-15.922,-6.6755,-26.056,-14.409,6.7725,-0.65368,16.264,7.1638,-20.324,16.294,12.538,8.1763
"6",-134.32,1.8006,-21.611,4.1977,-23.115,-32.31,17.581,-26.743,-7.0719,23.404,-12.78,-12.215,-6.5113,5.8357,-16.546,-16.822,-19.108,-15.533,0.67476,-7.6283,-30.998,-16.525,17.172,38.398,3.6108,-23.529,-1.8881,30.369,-1.6163,5.3704
"7",-113.54,-13.902,-5.0294,31.108,4.7215,-51.186,12.639,-26.125,17.187,3.5064,-39.393,-19.827,23.568,-15.287,-8.257,-7.3552,-33.23,-44.972,-3.0826,-4.5861,-40.072,-0.63706,37.62,-6.8251,-1.9776,-4.4726,-9.726,16.168,9.0499,19.166
"9",-117.31,15.813,-71.168,-53.634,-21.073,-31.567,-3.1913,-46.399,14.119,-9.2879,-32.275,10.023,24.463,39.532,-21.277,-19.683,-30.596,-29.595,-54.475,8.0221,-22.13,-17.361,5.6195,15.127,15.106,-10.822,1.359,-3.3445,19.755,10.376
"10",-122.12,21.049,-33.814,14.251,-23.102,-40.614,13.283,-32.856,17.531,16.904,-21.747,-7.4806,10.081,-1.6813,-13.568,2.1694,-47.107,-30.803,-3.5479,3.2424,-27.423,-16.846,14.094,20.523,6.6676,-16.523,10.514,31.571,-13.558,5.9311
"11",-131.48,18.489,-51.661,-26.772,-30.301,-22.345,19.891,-38.716,20.525,-1.5512,-38.092,-3.0133,17.949,24.301,-17.317,-15.335,-40.073,-22.289,-32.379,7.7098,-32.052,-10.536,16.846,28.145,13.963,-23.662,-15.257,-2.6965,-3.7871,8.358
"13",-159.32,-9.264,-17.046,-11.091,-15.887,-28.734,19.776,-40.416,-4.5996,29.393,-26.907,-19.961,9.9848,-4.2653,-9.9979,-6.3971,-46.643,-14.247,-2.6836,-12.016,-43.6,-8.234,32.729,29.788,5.1485,-15.356,-7.9655,16.382,-6.1279,11.23
"14",-118.88,-11.931,-36.642,-4.8652,-19.828,-21.705,7.702,-33.717,-35.734,11.024,0.3941,-4.702,-14.211,5.6439,-30.04,-2.2539,-9.9764,-3.7719,-4.3571,-31.963,-23.95,-18.911,24.911,-7.3911,29.658,-2.4409,3.8042,27.112,9.5059,0.16634
"15",-139.54,-27.368,-5.2023,29.561,-6.8427,-37.225,4.0389,-4.1416,-43.585,6.9929,4.5592,-17.155,-13.147,5.3649,-5.1592,-3.0153,1.0766,-9.1757,5.8357,-17.772,-20.805,5.3138,21.596,-7.9986,24.838,-10.28,0.17926,12.055,11.712,13.101
"16",-149.64,-13.414,-27.871,-18.756,-14.499,-32.977,28.524,-38.899,-15.78,26.143,-21.184,-5.716,5.1677,3.9732,-12.717,-7.002,-15.088,-3.4294,-7.6058,-15.174,-26.672,-13.093,32.973,20.4,15.422,-17.549,-5.8042,5.6257,2.4562,-3.7517
"17",-104.76,-19.462,-52.46,-63.535,-11.625,8.6154,-17.153,-19.845,-23.076,-18.882,23.926,3.8079,-29.511,-7.4278,-33.618,-20.282,-17.885,0.18792,17.689,1.131,-31.586,-22.257,5.4253,-1.679,22.372,5.8027,-17.499,13.87,9.7901,-8.8545
"18",-112,18.395,-24.36,35.565,-31.965,-24.688,3.4967,3.6486,-45.895,31.03,-4.3063,-16.974,-5.4188,16.2,-15.654,-6.4864,-7.5201,-1.0267,0.7375,-36.739,-32.829,-16.578,20.947,-2.5831,31.399,0.82757,-6.6156,33.398,9.2733,10.855
"19",-117.45,-20.281,-53.382,-18.107,-23.086,-7.9939,5.4612,-20.232,-28.109,9.9855,18.985,13.378,1.28,5.6249,-45.883,-8.8786,-16.038,7.1331,-16.622,-19.683,-24.754,-24.092,18.243,2.5322,8.1205,-14.215,11.73,17.349,19.773,14.603
"21",-129.4,-4.7319,-37.966,-9.8735,-31.752,3.2066,10.154,-34.733,-16.468,10.25,-4.8194,-6.2635,-23.24,15.658,-29.984,-10.071,-13.816,-11.072,-19.413,-22.825,-21.574,-28.652,16.645,-11.034,11.976,-6.5105,5.4551,30.996,24.154,-3.3259
"22",-114.08,2.0043,-2.6943,17.127,-23.026,-25.707,26.151,-17.181,-6.2905,2.4705,4.9679,0.88142,1.4736,45.388,-14.841,-15.282,-9.5684,-13.359,6.3832,-27.136,-37.545,-15.09,15.918,5.0984,30.349,-19.054,0.39232,28.198,25.494,8.6543
