class_type,means,sds
rf,0.804067796610169,0.0389019052283248
rf_overall,0.77075500770416,0.0331231228878715
PCrf,0.769306625577812,0.0497116454575162
PCrf_overall,0.697873651771957,0.0383534732492735
svm,0.852265023112481,0.0127756256812145
svm_overall,0.803451463790447,0.0294725366461226
PCsvm,0.802619414483821,0.0194016393052553
PCsvm_overall,0.798366718027735,0.0312592635029146
nn1,0.811217257318952,0.0185845680484779
nn3,0.818366718027735,0.0338403693170066
nn5,0.809275808936826,0.0271320792465473
