"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"7",22.865,-51.388,22.943,19.371,7.5933,-21.104,-51.736,3.6516,0.91163,-19.053,-5.2389,36.47,1.1972,-8.8103,-7.1648,-36.34,5.6069,19.431,-21.026,-24.309,-8.0993,10.899,3.5741,-10.155,-20.526,-3.3564,29.116,17.942,-7.4022,7.2873
"17",-71.632,-102.58,48.026,36.724,-25.179,-36.609,-47.551,6.8496,74.793,6.5235,24.86,5.4956,-17.817,8.3454,2.9406,-4.0806,22.165,-6.1107,-7.9412,20.106,11.106,-11.101,19.026,29.259,-4.7453,-5.2698,10.345,-16.873,-2.5546,1.0052
"19",78.112,-118.54,-43.644,-52.69,-23.537,72.216,-0.61294,-97.662,65.783,13.097,-8.3331,0.011912,-4.7657,-42.107,-45.814,25.416,4.45,1.9047,0.8261,-15.195,-14.578,-11.026,32.366,11.376,-17.786,-0.5352,-5.4837,10.252,-22.446,-19.909
"27",6.2171,-75.502,50.282,52.662,-11.445,1.3158,-32.221,-18.956,61.53,26.954,-28.09,37.8,-10.369,-5.1261,24.46,-16.364,8.2136,10.926,-41.79,-12.752,-10.416,-3.7812,24.018,20.386,-3.0427,1.5712,3.1355,12.453,3.0904,1.562
"29",66.006,-27.08,36.194,-3.1188,-17.059,8.4921,-41.801,-48.859,43.908,-25.45,-63.068,7.0753,2.1402,2.9951,46.369,13.367,11.764,-7.7914,-15.873,-2.4051,-31.98,-17.295,10.356,11.205,4.0193,17.674,25.101,4.4803,6.6994,9.6795
"32",-25.117,-85.838,48.242,45.931,-13.188,-19.011,-71.364,-0.47266,71.272,28.355,-6.0176,26.164,-2.3596,-4.3671,8.2472,6.2889,18.761,-16.451,-9.247,7.7771,-1.537,-7.92,17.376,2.3458,9.1125,-13.003,7.4995,4.9228,6.8673,12.292
"38",-31.927,-87.445,54.89,64.428,-2.626,-5.3682,-50.356,-10.454,34.105,-4.8346,-14.89,24.802,28.957,9.5848,9.0842,-35.145,15.117,1.2482,-4.2331,-20.656,15.787,6.9287,17.659,1.123,-11.705,-6.2677,21.795,7.5774,17.845,-8.1865
"42",-80.54,-111.24,51.243,52.786,21.195,-14.278,-46.965,-10.712,63.786,12.092,44.756,-15.384,0.42527,14.396,-10.405,3.2812,10.01,-2.758,-12.325,0.11329,33.434,-10.893,19.529,-0.9562,0.73742,2.2406,3.9779,-1.4274,-28.095,-6.2254
"47",-8.5274,-89.918,42.557,59.161,0.90369,-13.841,-48.671,-9.7812,54.793,0.28541,-2.9232,21.733,-3.7634,4.4772,9.3332,-3.6757,6.741,-14.238,-0.35967,12.26,18.663,-20.201,25.037,7.7933,4.1116,-14.818,-2.1985,3.88,6.3629,8.76
"49",-181.23,-97.599,42.93,112.64,-20.212,-0.66249,-4.0848,-34.071,-34.483,22.671,46.906,-27.545,-19.767,4.7139,-8.1374,-1.2785,-17.054,-16.426,-29.625,-39.315,40.467,-18.048,9.2719,-12.388,6.5886,27.412,13.916,-5.6632,-26.092,12.886
