"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"194",-162.28,191.44,7.6658,105.22,63.305,-162.27,-0.23017,4.8834,28.422,-7.8441,23.97,5.9816,-15.704,64.097,42.093,9.9801,-105.6,28.081,56.057,104.46,27.41,27.835,-9.7932,-32.595,-1.5467,-65.813,-40.58,-12.559,-32.19,-18.508
"196",-12.855,77.658,-239.97,37.543,-32.314,13.079,1.078,64.044,-82.274,63.504,146.08,39.631,-22.883,22.986,56.385,-103.46,81.544,22.205,103.27,23.844,-54.269,-61.739,-43.724,38.49,2.713,44.718,-58.97,42.243,-53.021,16.479
"197",-80.622,261.84,-131.58,-56.165,79.933,6.6418,89.849,-17.733,-86.707,7.3139,-15.632,77.882,6.0478,34.04,34.352,41.414,10.502,-17.012,27.773,80.648,-6.2666,55.791,-37.227,68.028,21.94,4.6809,-37.621,-18.218,-11.165,88.023
"198",-42.764,198.58,-163.24,-98.402,-34.233,68.932,-22.563,28.932,65.287,73.649,-47.455,-37.422,17.633,52.907,8.393,14.228,-58.82,36.96,28.327,-20.658,-3.8968,-14.442,38.678,7.8622,-26.4,-27.969,-21.503,-13.384,11.849,-19.896
"200",-6.2874,179.18,-146.83,-121.19,-10.702,19.658,-46.535,113.89,7.8432,96.535,-37.251,-71.534,9.301,-73.361,-31.66,-16.785,12.024,-29.241,16.415,30.756,25.645,2.4062,12.833,0.46959,28.996,-14.539,10.313,19.281,-31.328,9.9241
"201",-95.772,274.14,-25.734,-67.178,83.919,-9.1558,57.916,17.753,55.785,-48.162,48.064,35.72,43.763,44.31,-18.988,-7.2939,84.804,-13.659,23.312,9.3055,29.984,45.958,111.01,-12.7,20.735,-0.64925,-29.373,17.004,36.397,0.64416
"203",-197.11,-22.854,41.627,-55.06,5.5475,39.707,1.6606,-26.842,-6.8668,43.463,-8.7987,-11.093,-14.122,32.432,15.165,-50.857,11.868,11.283,-17.261,30.278,-25.24,-2.8817,13.225,27.308,-6.8944,-9.8372,-10.918,16.614,-2.1135,38.582
"204",-170.68,-8.7811,-60.869,125.05,133.71,13.059,-13.494,0.47642,46.891,77.441,-76.746,44.112,-79.97,106.53,102.69,20.18,61.694,51.66,-36.925,-10.043,53.689,73.555,69.427,-36.54,15.504,-53.739,-52.396,-2.9315,2.6691,-20.279
"206",-99.511,263.62,-39.864,-121.32,69.126,-122.36,71.628,17.992,-16.917,-22.023,89.37,-16.697,49.388,32.546,47.172,36.39,-7.7354,-10.065,8.0068,9.9511,-16.471,-28.731,26.547,29.014,-25.915,-28.311,2.8902,2.4201,-19.494,15.327
"207",-211.98,161.23,-6.3029,84.769,65.726,60.828,26.646,-7.8619,-10.974,-44.663,5.8734,115.56,31.253,13.382,-55.925,96.098,-15.986,-0.55895,-15.148,-25.967,63.822,16.664,16.89,46.838,-13.187,-30.431,-35.304,-5.1399,-44.979,-13.437
"208",-162.37,215.42,22.665,30.061,64.365,-88.231,-17.929,-50.818,-71.237,-36.724,20.969,-13.302,56.187,43.654,32.893,-54.868,-117.73,60.841,4.517,71.101,23.312,-25.694,27.425,-33.051,-32.847,-25.086,-71.343,-0.0067048,60.355,23.375
"209",-230.33,80.203,88.206,7.4708,56.683,94.416,25.728,45.369,5.3856,9.2563,-14.618,38.526,35.288,19.949,-17.178,-5.502,-45.69,18.828,84.047,-30.326,-8.0233,-10.047,-18.415,-2.96,-2.5691,-57.067,36.927,14.593,-7.6677,21.565
"210",-101.26,-78.335,-26.005,-62.427,55.096,-52.794,28.815,13.876,30.524,59.418,-27.459,11.575,29.364,30.331,14.524,-29.825,-16.152,13.773,27.035,6.0732,-62.158,5.6073,4.8245,-3.1357,27.934,-5.659,3.6857,1.7498,19.632,3.1969
"211",-138.17,158.16,43.376,61.47,41.35,-156.25,-48.263,-35.66,-19.883,-35.688,16.121,-35.793,36.083,60.771,11.572,-59.959,-130.05,39.969,1.8374,75.675,21.604,-36.734,32.686,-13.717,14.946,-1.8761,-31.419,2.7148,12.769,7.0126
"212",-86.644,214.1,-129.91,-68.849,22.665,-26.887,82.802,24.602,-7.5159,1.1062,-51.727,22.633,-38.247,-9.4146,69.632,14.852,8.1392,-32.683,106.4,63.551,4.2692,-15.344,-45.63,-5.987,-0.37482,-63.041,-3.7698,-18.501,-28.785,23.953
"213",-158.47,231.18,-29.513,-63.865,25.624,-114.77,-7.5563,23.156,21.938,17.558,41.67,-2.719,25.134,39.895,-12.625,-0.20793,-39.184,66.08,21.173,19.166,-26.771,-28.601,17.199,36.787,-20.445,-61.412,38.173,7.6059,-20.555,17.115
"214",-111.45,282.29,-20.165,-67.154,53.694,2.0037,139.1,-2.146,6.7655,17.909,65.486,63.156,6.995,56.422,23.361,19.243,54.967,-29.06,63.821,31.739,6.2704,15.746,61.732,35.507,16.37,-2.7585,-2.5307,-27.435,20.32,7.0401
"215",-36.173,228.18,-180.28,-120.23,11.357,117.93,-4.4589,-6.5394,33.066,80.894,-30.317,89.338,-19.389,6.7989,98.54,12.687,-77.406,25.482,18.705,-28.235,1.0432,-29.764,21.57,49.287,-22.726,19.6,8.6825,-28.114,-39.234,5.6907
"216",-36.293,-84.078,-88.84,-33.793,30.879,-23.36,3.1408,-42.566,25.887,-9.5927,-32.975,-40.002,67.838,23.405,-13.744,-7.5858,40.78,4.0933,18.381,65.307,7.8499,1.233,45.769,-24.986,2.9447,-33.609,25.836,-5.1883,-31.677,17.887
"217",-30.517,203.68,-119.6,-106.09,45.233,-41.225,-13.355,66.759,-42.069,66.029,3.9057,-42.946,7.2247,-22.09,10.066,-9.565,-40.011,-34.289,28.956,55.39,10.949,-39.364,-35.739,12.363,-23.969,-56.767,15.582,-17.541,-10.148,-20.639
"218",-58.224,218.07,-160.35,-98.855,-13.803,77.264,-35.128,-13.509,60.576,56.608,-39.807,4.6318,67.312,48.59,9.7657,-28.422,-72.964,-6.9398,-42.144,-9.2777,6.087,-43.742,40.937,47.306,-26.93,6.1691,-25.831,-18.404,14.357,-31.557
"219",-137.68,-89.076,-41.247,2.6764,63.902,-34.514,15.871,18.849,-29.788,66.682,-12.872,-19.993,47.736,10.964,1.1598,14.705,-11.186,22.31,-2.3195,8.7678,55.621,-16.438,21.45,16.702,-40.937,-48.285,-24.891,-26.224,-17.03,10.169
"220",-54.372,196.24,-152.84,-92.95,-4.028,39.656,-14.301,-10.307,66.623,53.589,-79.932,11.281,4.2944,52.606,-28.089,-10.719,-56.413,21.843,-3.9278,11.017,16.122,-45.975,-2.1612,11.206,13.453,-36.534,-37.954,-0.81092,-28.415,12.284
"221",-106.36,80.18,116.78,76.27,-46.47,16.292,60.514,53.848,51.514,101.06,-27.33,-5.0031,9.1077,11.044,-72.147,154.44,87.555,187.67,107.29,62.887,-49.284,-15.844,-13.858,40.565,-48.398,-22.519,-26.535,29.925,13.647,33.544
"222",-0.31519,-88.149,-24.556,-53.287,32.694,-19.672,27.828,-6.0636,5.4287,18.028,0.70986,-2.4222,-19.487,-25.011,-27.732,11.669,-25.246,-26.365,47.689,13.006,20.544,6.051,4.2003,28.188,37.227,-4.185,-21.709,0.043219,-1.0584,27.97
