"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"237",-166.07,-23.19,44.142,-60.534,-2.11,24.439,1.3708,-5.9633,13.559,49.753,25.076,2.0559,-34.383,24.065,-4.7247,-30.258,0.88524,-4.7899,2.6702,54.802,-28.443,-26.746,38.263,14.554,-1.6154,-50.514,-8.3299,-11.115,-7.775,0.098247
"238",-133.94,-101.61,-33.515,-22.255,90.298,-31.829,25.435,-16.147,-16.443,96.683,-9.2415,-9.5276,57.455,17.472,0.33075,7.8931,-30.128,38.844,30.685,15.484,8.2527,-4.6113,26.38,18.233,-18.25,-62.154,5.2142,15.965,-15.354,9.2753
"241",4.2104,161.45,-121.98,-66.757,59.756,-42.757,-13.813,142.12,-5.477,22.005,20.07,-80.679,37.839,-104.39,-61.45,7.3437,-34.7,3.3688,91.293,-6.3123,19.311,23.169,31.745,-35.421,10.803,-27.755,-36.955,59.326,-31.131,60.232
"253",-206.87,22.55,54.826,-6.497,-39.898,21.16,19.693,-26.487,25.17,25.912,-3.5364,-41.349,-29.486,66.506,-22.206,-26.104,8.4255,14.448,24.865,11.881,-21.447,0.14326,-7.8823,0.10981,-35.567,16.327,2.4742,6.4993,-5.0935,52.097
"256",-189.11,-67.796,-69.189,-15.67,12.006,-13.486,5.5401,-11.537,-22.913,27.442,14.628,-8.8799,-7.9886,-10.943,21.287,-13.646,-20.019,35.744,12.206,-16.415,4.3251,3.2202,2.2295,21.315,-0.80513,-5.5532,2.2606,7.7396,-16.533,4.9232
"257",-151.04,2.0704,-118.56,0.44021,-55.354,-15.13,55.798,-59.428,-26.89,24.254,-30.74,-24.765,-2.0659,-40.051,-2.2005,28.454,22.788,-9.2136,-22.501,-16.886,12.053,26.564,10.618,3.311,10.703,1.8594,-11.896,22.901,-8.2128,15.127
"259",-239.59,-23.128,-4.9686,19.955,-12.635,19.619,15.24,-7.2574,-0.22895,40.827,-10.411,6.5062,-14.287,-6.9734,35.507,-23.683,-20.52,9.4572,-11.355,37.516,-18.155,13.122,19.162,31.463,-12.1,-2.3291,-27.046,17.987,-13.483,24.069
"261",-198.68,-66.941,-74.292,-11.485,22.807,-15.559,-53.447,25.636,8.714,-7.5831,-28.259,5.1921,63.294,-8.5105,-5.1114,-22.809,7.7663,2.4398,3.6109,61.229,-35.125,6.2935,14.648,12.517,12.282,-5.4374,-0.94635,-8.2429,-21.765,19.77
"264",-236.84,16.145,-5.3784,17.47,14.275,21.577,18.545,1.2173,-57.51,69.532,1.5438,-5.9625,50.763,71.227,-92.779,48.975,-21.625,-17.601,18.722,-26.974,-32.335,16.849,40.863,13.565,-5.2489,-40.502,43.019,-1.5008,-4.6254,14.65
"265",-197.7,-21.035,19.216,-57.711,-36.882,-4.5815,9.1089,-20.815,13.473,50.114,18.025,-17.572,-45.845,55.421,-30.691,-23.537,20.335,-16.944,-6.3108,48.199,-15.103,-28.188,29.257,28.94,-11.931,-8.8323,-7.4038,-18.871,-11.438,-3.6554
"269",43.817,8.8457,9.8014,-3.8164,34.367,27.664,12.29,24.984,-9.507,25.223,-5.8189,-3.5679,14.358,29.072,-6.0477,-17.889,-12.451,19.642,32.322,20.31,-8.2095,-2.8358,15.033,25.412,2.8159,-18.873,-2.8515,-5.7606,-7.6555,10.18
"277",59.407,13.293,17.616,10.36,19.354,17.98,-25.741,7.2183,-5.1867,-2.75,-12.224,7.4928,12.766,13.477,-3.2944,2.0117,-18.372,-0.072422,3.7158,13.576,-15.922,-17.921,16.122,20.839,33.24,-15.775,-15.618,-0.080822,-16.717,13.277
"281",45.571,29.613,15.018,22.288,21.095,42.527,-8.9265,27.613,-29.419,4.5655,-14.709,-3.8142,30.067,9.7615,3.2906,-25.429,-0.60476,11.23,16.988,6.8376,-9.6329,0.74006,8.7872,15.879,16.679,2.074,2.018,6.8982,1.2815,20.671
