"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"109",85.371,63.394,15.874,-37.789,-16.163,3.9383,26.331,-1.0556,-37.9,-15.561,8.9952,10.645,-8.1187,-16.901,2.4534,13.39,-30.118,11.139,7.5491,10.147,-3.7434,-9.4457,22.646,0.91733,-1.2129,-1.2755,2.2916,-11.54,1.6862,1.4576
"110",93.012,58.391,38.965,-20.122,-4.5252,18.37,36.565,-3.7398,-34.204,-13.262,-1.0094,21.091,-13.38,-6.5163,-1.3944,15.065,-4.0406,9.0322,-7.686,14.793,20.17,-2.8024,1.3862,4.0826,18.131,5.0155,-3.5358,-3.3859,-35.19,3.0966
"111",109.02,70.078,55.283,7.8302,-11.396,7.6708,31.823,-21.235,-30.387,1.4107,-13.808,0.64045,-17.82,-3.6755,-10.853,23.173,-2.7515,8.9364,4.3445,-6.7514,30.561,-12.151,10.723,7.6931,1.0763,-13.184,8.2492,-2.0363,-17.574,19.456
"120",78.772,41.363,3.6622,-41.501,-26.697,24.164,31.902,37.926,-79.146,7.5651,29.284,35.392,7.9962,-4.1158,25.427,3.1095,-27.392,24.944,2.2163,51.895,10.741,-15.221,25.245,-19.424,5.8562,-14.226,-22.632,-6.829,-5.7631,-24.814
"128",84.88,35.062,-9.0334,5.7115,-46.109,3.4705,5.0055,-19.782,-55.815,32.322,-4.4975,14.162,0.58096,-35.027,14.4,-6.9156,-8.2876,12.778,-12.446,6.9691,16.022,4.6464,4.0376,5.2423,-23.688,-15.927,-26.588,7.1085,-19.862,5.9924
"131",-59.494,-35.623,-52.711,-16.173,39.245,145.43,-38.584,25.714,-4.0836,19.302,36.222,-1.4779,6.268,1.7786,1.5529,50.372,-18.181,3.5821,-5.8935,6.6556,38.607,-12.567,6.5808,36.768,-33.726,-19.718,-31.053,-17.835,-39.144,-5.9433
"138",16.496,-29.462,-13.041,44.663,67.506,18.298,-4.4798,74.774,-2.8944,35.521,-11.37,17.704,7.1891,-1.7828,-14.889,18.763,-16.583,19.03,-30.757,0.81421,11.025,26.714,8.5509,-20.285,-10.848,-15.039,-48.566,4.2061,-0.78404,17.833
"142",102.87,50.352,9.3944,-5.5937,-54.721,0.76386,12.464,-14.141,-53.395,20.013,0.061073,12.398,6.3368,-24.809,22.488,14.514,-17.507,14.734,-22.524,11.426,22.159,0.32567,14.759,18.433,-22.72,-25.483,-9.2264,1.151,-10.136,8.8401
"145",104.71,57.221,-9.1843,-30.08,-28.075,15.771,42.283,1.4136,-73.568,0.7616,18.217,24.672,-11.676,-13.516,-10.445,10.98,-35.176,4.2239,12.816,6.3988,20.384,-17.732,18.257,-3.2013,-8.7626,-17.886,-7.7466,3.9314,8.5369,12.81
"151",-93.141,-190.73,72.266,-129.09,3.4741,-99.591,140.79,-3.1093,-141.25,68.923,-113.3,49.368,14.703,72.178,-49.542,-35.145,-37.01,-21.304,-48.37,68.387,7.0296,-82.497,-19.592,81.459,47.958,-81.795,-38.057,-90.593,47.423,72.23
"152",-35.755,-182.94,143.25,-116.47,1.3004,-78.212,94.376,77.941,-110.34,54.676,60.284,-100.07,-43.582,15.251,25.326,7.0365,-3.8429,27.436,-30.475,83.736,43.89,63.16,17.351,-25.846,-22.429,13.407,22.576,19.413,22.024,35.625
"153",-203.59,77.049,-14.865,-103.05,-46.601,-68.184,39.945,65.152,-54.034,136.97,-13.785,27.738,-0.54063,-88.45,2.7011,-26.214,19.107,117.25,68.037,-71.208,-24.833,-0.86461,-40.083,24.513,5.1732,-21.882,-35.575,-5.8238,-8.5729,2.2654
"162",-256.4,10.733,-67.393,-100.05,-31.761,-28.892,28.523,64.782,-52.014,89.539,6.0973,61.647,-15.793,-98.685,-28.3,-22.541,-54.211,56.644,6.2504,-7.3305,-40.287,21.569,-11.801,21.218,40.502,9.5401,-46.738,5.0119,-72.668,55.78
"164",-70.877,-133.14,103.9,-65.302,43.079,-149.81,-76.957,44.8,-16.439,86.06,88.265,20.119,-78.009,72.394,-110.99,-42.741,26.787,154.68,-49.718,30.801,33.138,15.511,7.4326,-74.906,-44.525,51.537,-57.444,13.32,-1.7775,-16.124
"171",40.175,-240.62,44.897,-108.93,-21.611,48.559,96.07,-143.82,-102.71,-52.763,203.99,24.972,2.8924,-6.2082,38.937,68.998,19.869,-16.37,-43.61,-1.201,-19.373,18.193,4.1775,50.736,52.295,-23.655,2.3396,35.429,-2.8062,35.614
"184",-37.098,-283.2,-15.816,-130.81,-65.773,-72.566,-13.023,-127.59,3.6415,103.97,-185.41,106.28,29.342,-6.7161,36.16,20.328,8.9305,37.207,21.25,72.157,65.223,-48.355,12.668,-2.5484,2.3227,42.22,11.234,12.767,-11.65,-17.037
"191",121.86,33.269,-65.568,-140.76,-142.42,-164.5,-130.29,253.46,-57.821,9.8225,66.102,-2.052,-21.046,46.949,77.06,-1.4787,-5.9687,-91.12,48.087,-65.237,58.145,-15.534,50.279,73.485,-15.33,-54.469,63.508,-43.574,-7.6838,-43.438
"195",-15.533,-241.81,-33.198,-121.76,-91.683,-66.933,59.419,-86.892,23.284,61.156,-207.93,119.94,23.543,30.7,55.335,-12.479,27.848,24.015,48.553,54.089,39.874,-36.826,23.151,27.334,8.7048,62.904,40.705,56.226,-12.16,-34.581
"202",123.98,87.988,37.259,-22.046,-22.378,-0.16888,32.92,-12.681,-27.739,8.8969,18.223,5.9549,-1.9093,8.7943,-2.7757,-9.5643,-32.95,-8.6287,0.0050523,-10.141,7.2024,-5.1516,25.34,22.516,26.063,4.3327,3.9334,11.773,25.876,9.6715
"205",-166.35,40.832,-117.66,-44.038,34.139,47.147,-89.119,-6.2722,-127.68,19.95,17.912,74.031,136.92,-131.02,-41.126,26.38,13.571,-10.282,31.213,-2.3096,27.081,46.63,7.3646,25.882,-70.967,22.678,-3.3504,27.981,-15.944,6.2233
"223",-5.4311,-224.62,31.49,-176.93,-23.433,-2.4093,3.2837,-65.298,-68.215,-5.0519,145.99,-39.903,52.06,-66.402,12.256,5.9963,-11.459,-61.269,20.843,12.271,30.592,-29.788,-0.44328,-19.421,-30.885,-18.193,-0.37466,35.06,-38.985,40.653
"224",-18.412,-116.71,-99.542,-136.82,-46.568,39.182,-52.38,-83.347,-161.89,-28.023,-37.798,38.18,-88.382,17.612,74.171,77.424,10.823,18.927,40.406,-13.117,64.411,-35.899,82.385,-62.837,-19.129,-13.719,-40.695,9.9067,52.814,32.738
"227",-106.61,-34.073,-118.82,-115.41,-156.2,-5.5431,48.215,48.395,24.159,-74.766,11.013,-7.389,-19.86,-38.514,-20.208,-13.975,25.25,42.296,-18.092,-15.64,7.585,-37.394,4.9675,-32.649,8.1775,4.1937,-5.7474,-41.014,-38.692,11.361
"232",-222.14,11.595,22.515,68.752,-66.756,13.428,17.776,1.4368,-48.451,76.842,-8.1961,8.8216,-29.898,-10.94,13.401,8.6344,-8.5959,-4.7889,-4.9285,-2.4219,13.894,-40.009,19.576,2.9703,19.068,-1.6668,-13.608,1.9302,-34.757,2.9784
