"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"7",-129.31,-21.72,-17.934,-34.077,44.396,60.949,54.844,27.827,-30.201,25.959,19.037,49.876,48.067,-14.542,40.134,-29.096,-13.523,11.051,12.642,-3.9305,9.4593,-36.618,29.589,-27.346,20.206,3.2851,-3.2294,-15.484,-9.8203,-6.9472
"17",82.604,62.34,64.641,-30.818,-18.08,10.628,19.117,-15.783,-23.548,-14.524,-8.7648,21.847,-15.694,-7.7503,-17.674,8.5011,24.82,11.653,-5.127,-20.293,30.626,-10.688,-7.329,1.0605,21.283,-12.879,-3.912,-18.843,-21.554,25.29
"19",99.233,65.479,70.693,-22.328,-37.99,-3.9209,-4.1689,-32.127,0.62978,-17.632,-14.248,-15.145,-2.6413,-10.847,4.0203,16.742,-19.757,-3.1979,-24.349,-21.029,16.629,2.1863,14.449,29.531,5.7125,5.0195,-1.3144,14.041,0.54508,19.293
"27",59.583,66.352,40.02,-71.922,-50.516,27.411,-12.679,-43.807,-19.114,39.906,-6.1794,11.831,-6.8861,-31.681,-8.8338,-15.453,35.82,34.054,-19.665,-20.282,28.665,-13.014,20.883,21.303,0.99298,-33.167,11.809,-16.198,-12.084,8.9409
"29",-183.56,0.86954,61.203,43.389,-54.298,-5.175,3.9852,-1.6667,-53.394,6.2689,-10.809,-37.591,51.996,-17.497,6.2391,-3.718,11.714,32.716,-16.941,7.2298,23.253,-13.528,-1.8902,20.425,-0.98694,-17.012,-20.609,-13.546,4.2834,-2.3079
"32",-94.287,-53.923,7.0444,-38.071,46.228,122.19,16.858,37.197,26.533,32.8,33.149,-5.5442,28.905,-1.19,1.3586,-2.8298,-14.078,-6.2602,15.302,-7.084,22.597,-12.071,12.866,19.437,-13.235,-19.346,-60.756,6.5099,-32.668,25.02
"38",-161.39,-20.953,84.512,40.623,-59.967,13.983,-7.004,-0.82018,-59.364,0.035779,-5.401,-12.431,65.338,-18.493,14.85,22.401,27.512,12.534,-16.338,23.07,40.176,-21.849,-13.897,28.506,-0.89902,-33.302,6.1613,-18.784,10.597,5.1489
"42",-221.83,-0.98929,53.055,46.501,-54.54,0.86825,-2.1346,-14.68,-51.456,12.648,-2.0674,-20.807,31.075,-26.192,2.9718,-16.285,51.781,43.897,13.068,-11.05,14.074,-6.7481,-1.9067,13.886,-24.416,-3.3166,-33.351,-19.398,-0.71219,-29.452
"47",78.625,65.104,58.902,-55.378,-17.428,27.573,21.483,4.7658,-36.999,-10.075,-4.483,21.671,-18.781,-21.027,-0.73352,18.32,-19.579,19.784,3.0815,4.7572,8.0974,1.0538,3.4798,1.7116,-15.957,3.2852,-13.753,-1.8399,8.4896,-8.1987
"49",-141.81,-27.124,-36.203,-37.447,-127.62,8.9987,-42.861,-18.309,49.211,-91.27,44.062,-36.976,-58.601,18.568,-2.8599,-37.513,-31.946,-67.648,31.014,-7.7589,7.0039,-19.438,6.2832,12.384,-23.264,-14.485,-14.161,-7.1692,4.6454,15.843
"60",-187.56,-8.1184,74.422,58.117,-59.512,20.603,-5.3475,-18.911,-28.89,36.814,-2.3723,6.7,-0.14217,-7.5909,9.2283,16.126,8.9103,14.741,-50.818,-3.6805,30.486,-25.302,40.409,-7.9813,-16.402,5.9497,-6.4557,-6.9504,-18.885,8.9702
"62",105.8,96.55,83.344,-26.068,-39.083,17.256,27.76,-13.755,-50.488,13.692,7.6574,19.585,-3.8213,-8.0739,-13.249,-6.7436,-3.8787,-16.576,-4.4481,-13.734,27.023,-34.444,7.3414,-8.2399,-29.285,-22.36,-1.386,-11.223,2.3083,20.63
"65",-213.82,-9.0115,75.019,40.757,-58.666,33.247,-3.0778,-9.3794,-41.14,30.573,-14.902,2.1005,-19.231,-19.113,5.9654,1.6291,32.483,3.0819,-4.8263,7.295,3.0415,-12.366,24.491,-1.1761,-0.30232,-17.041,-5.8635,-1.8676,0.55245,-6.7068
"71",-158.22,-49.362,85.278,65.409,-93.871,51.23,-3.2338,-6.4807,-45.984,13.427,-14.252,15.538,0.56553,-23.141,-11.706,12.61,9.369,-12.536,-12.965,12.43,42.231,-18.792,36.513,-19.07,-19.728,-26.184,11.976,6.6393,-15.72,-6.4212
"73",85.795,53.814,81.667,-27.64,-38.442,17.849,-1.5518,-49.767,-27.834,19.251,-29.659,12.087,-22.66,-50.931,-23.317,3.3425,-1.8336,6.9742,22.277,-12.69,6.5602,-19.279,18.16,-0.92693,-46.483,-2.8493,-4.5203,-7.7803,6.8342,7.7526
"82",-171.36,-17.722,79.48,25.252,-53.993,-6.3479,24.924,-8.7988,-68.157,15.189,-15.246,-30.201,57.695,-12.249,1.5847,17.832,26.608,47.036,18.369,-7.2445,37.956,-47.514,-7.6032,20.764,16.384,-16.636,-6.7808,-7.4013,10.057,-9.8958
"83",-194.89,7.5892,66.598,16.607,-23.828,-21.141,1.2556,-22.016,-48.26,56.581,-17.235,-1.1301,18.492,-25.047,8.2884,34.031,8.5592,-8.5528,-29.798,-9.183,-14.19,-23.788,43.909,3.366,2.6125,-7.187,-13.473,-2.7303,-16.137,7.3956
"85",-187.32,-15.161,59.574,14.515,-78.918,25.263,-5.8632,-3.1821,-97.823,-13.188,-1.8136,-17.213,32.364,-39.123,-12.174,-11.042,19.217,42.812,-7.0502,-0.16085,31.972,-17.576,17.336,27.422,-7.1786,-25.982,-33.862,-9.2188,14.719,5.5707
"87",-181.83,151.29,51.814,-281.29,148.89,108.38,78.285,88.348,-35.282,17.196,-69.741,88.223,62.739,80.294,30.107,-149.75,57.444,-112.67,23.313,-25.98,8.8682,18.672,14.343,-73.475,-33.966,-5.4765,-47,-37.486,4.1849,-26.249
"95",-142.84,-43.457,13.25,52.455,-96.675,29.63,14.967,13.276,-56.184,-48.641,1.9929,11.102,19.081,-21.95,-20.097,-23.139,3.1694,4.3516,-5.2285,13.409,52.584,-8.9699,-4.5968,-2.5136,-2.1192,-67.168,8.4712,-6.4572,-8.7963,19.71
"98",101.95,67.047,38.436,-23.058,-30.964,11.346,26.528,-6.8644,-42.243,15.244,-4.6681,6.3738,-2.9245,-18.267,-5.4524,-6.1003,9.5281,4.7098,-12.884,0.098263,34.983,-14.998,-2.0941,8.9193,0.98458,-23.534,8.7796,-7.2063,-25.355,2.7299
"108",16.552,0.21137,28.489,-11.752,3.1077,-19.876,-24.834,5.9182,3.3137,11.681,14.511,23.632,-19.101,-19.288,1.7219,15.356,32.278,34.578,-23.069,49.481,9.4906,-41.904,-39.574,9.4815,22.126,-11.19,-9.523,-4.3232,-7.6927,-11.938
"119",87.638,40.487,26.774,-7.5078,2.8644,11.693,24.817,-6.5747,-40.873,2.045,1.7736,25.184,-14.064,1.6863,2.0897,1.4987,-4.9811,-1.0763,-13.524,2.9581,20.578,2.8104,10.278,14.474,1.3516,7.6771,-18.807,-7.4497,-12.508,10.279
"122",73.46,22.217,2.5864,-6.554,-49.282,11.391,-1.1038,-20.856,-46.233,22.556,-7.3596,7.0631,-8.166,-19.276,6.8607,10.246,3.7336,9.6064,-15.769,-0.38961,23.188,-15.564,14.447,0.36886,-24.879,-13.233,-15.738,4.6128,3.5257,16.659
"123",86.523,38.171,4.0723,-35.812,-59.562,13.497,1.7414,-11.832,-46.826,16.209,0.51644,5.8712,-5.5844,-23.14,22.773,2.4441,5.1605,25.92,-11.856,15.342,17.134,3.387,8.1657,4.2034,-3.1761,-23.902,-26.124,-10.944,-3.6357,7.8501
