0,0
0.4731,-2.0976
0.94692,-4.177
1.4203,-6.2349
1.8969,-8.2795
2.4032,-10.328
3.0362,-12.451
3.8527,-14.691
4.7577,-17.001
5.6751,-19.343
6.613,-21.714
7.6057,-24.25
8.7809,-27.409
10.316,-31.551
12.215,-36.377
14.291,-41.444
16.461,-47.277
18.527,-54.515
19.797,-62.678
19.647,-71.47
17.662,-81.132
13.077,-92.356
5.312,-105.26
-5.1834,-118.1
-17.293,-129.49
-29.864,-139.93
-41.392,-150.48
-50.721,-161.45
-58.125,-171.66
-64.596,-179.28
-71.629,-183.89
-81.454,-185.42
-95.831,-182.42
-113.96,-174.23
-132.7,-163.22
-149.99,-152.16
-165.91,-141.63
-180.76,-131.27
-194.18,-121.22
-205.87,-112.03
-216.42,-103.69
-226.35,-95.659
-235.57,-87.41
-243.88,-78.225
-251.19,-66.12
-256.3,-48.518
-256.34,-25.806
-249.15,-0.93842
-234.45,23.232
-212.83,43.03
-187.15,54.9
-161.39,59.719
-136.75,61.612
-113.38,62.351
-91.625,61.237
-69.329,59.111
-57.27,70.097
-71.028,103.85
-92.392,144.59
-96.344,180.09
-86.945,210.34
-72.72,233.76
-53.666,248.92
-30.569,256.8
-6.089,259.87
17.817,259.42
40.27,255.51
60.474,249.22
78.124,242.48
94.352,236.85
110.61,232.53
125.08,227.98
135.89,221.98
144.49,214.91
151.81,207.32
157.35,199.19
160.88,190.83
163.07,182.74
164.85,174.78
166.58,166.68
168.15,158.33
169.31,149.25
169.68,139.06
168.75,128.03
166.2,116.63
162,105.01
156.24,93.484
149.08,82.494
140.58,72.363
130.84,63.32
120.03,55.529
108.54,49.171
96.692,44.257
84.811,40.613
73.524,38.014
62.718,35.95
52.083,33.831
40.435,31.451
23.612,22.131
4.5626e-07,2.3562e-07
0,0
0.21159,-1.967
0.42485,-3.9175
0.63891,-5.8513
0.85585,-7.7764
1.0963,-9.7091
1.4335,-11.722
1.9084,-13.859
2.4487,-16.066
2.9977,-18.303
3.5612,-20.567
4.1594,-22.987
4.8607,-26.061
5.7793,-30.152
6.9542,-34.923
8.2957,-40.014
9.7411,-46.064
11.101,-53.714
11.802,-62.419
11.307,-71.784
9.2287,-81.934
4.9139,-93.315
-2.1502,-105.93
-11.664,-118.39
-22.81,-129.63
-34.743,-140.01
-46.223,-150.21
-56.129,-160.29
-64.484,-169.32
-72.059,-176.04
-80.19,-180.14
-90.78,-181.43
-105.13,-178.76
-122.45,-171.62
-140.26,-161.74
-156.9,-151.26
-172.36,-140.88
-186.85,-130.53
-199.99,-120.43
-211.5,-111.08
-221.89,-102.45
-231.6,-94.06
-240.58,-85.408
-248.67,-75.855
-255.77,-63.564
-260.77,-46.074
-260.9,-23.679
-253.96,0.82529
-239.5,24.591
-218.29,44.019
-193.41,55.823
-168.69,60.759
-145.04,62.533
-122.46,62.987
-101.32,61.704
-79.766,59.555
-67.957,70.074
-81.144,103.8
-102.35,145.54
-106.57,181.73
-96.833,212.06
-81.768,235.5
-62.196,251.21
-39.19,259.96
-15.046,263.49
8.5007,263.11
30.47,259.44
50.237,253.58
67.65,247.03
83.454,240.9
98.65,235.4
112.13,229.61
