class_type,means,sds
rf,0.728141701023057,0.0629159594622547
rf_overall,0.706214689265537,0.0448877078589568
PCrf,0.723912047640861,0.0470585291324328
PCrf_overall,0.684180790960452,0.0599376185229884
svm,0.773385249656436,0.0431210642089188
svm_overall,0.763215758131013,0.0463157329556042
PCsvm,0.738738738738739,0.0456990535595551
PCsvm_overall,0.761200183234082,0.0456345758406041
nn1,0.725820735990227,0.020040275119333
nn3,0.756329210566499,0.0350138813884561
nn5,0.752511833867766,0.0277771068579972
