"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"310",-20.799,52.886,-36.15,0.32022,22.798,-26.436,29.088,-43.212,-1.3666,25.705,-18.285,11.38,-10.74,28.197,22.272,-9.7017,-5.2183,7.1247,-0.47505,-8.1764,27.172,6.8073,-4.6188,-21.297,12.137,2.0513,-26.458,7.6031,14.654,13.748
"311",31.968,95.174,-68.666,0.099267,4.203,15.595,13.372,-15.926,-10.91,21.884,8.5922,0.030692,6.3498,13.326,23.017,1.4831,-7.261,-1.9636,-12.051,4.6466,14.286,16.326,2.6467,-13.967,-10.66,-2.2855,-4.8762,-0.20138,-5.47,7.7792
"312",-18.767,70.727,-50.445,17.768,10.163,-23.065,24.52,-17.212,12.582,14.213,-2.4061,22.144,-13.209,8.5651,8.538,-9.7179,7.8584,-6.6603,16.151,-13.67,32.023,7.9893,-11.425,-13.718,-5.8396,-9.9382,-12.073,-3.9548,-3.0335,6.0226
"313",-31.254,69.333,-49.742,13.771,12.754,8.2529,39.985,-17.254,15.461,16.865,10.18,14.642,-2.5755,2.1973,-23.735,1.6433,3.3544,-5.1834,22.722,-10.251,21.128,7.4126,-3.2333,-10.024,-10.914,-0.21146,-1.2384,0.90013,8.7844,1.7474
"314",-14.687,66.494,-39.078,20.385,24.641,-4.1223,43.473,-11.805,11.917,28.516,-0.60853,24.667,-3.6546,0.57497,3.6698,2.4203,8.527,-1.1655,1.8935,-5.5732,13.51,1.0542,9.6642,-14.082,-1.9338,8.0495,-16.169,4.789,14.672,-3.5972
"315",122.26,-40.469,-43.491,29.152,-12.395,-0.28971,12.493,-46.802,-5.0898,38.482,13.05,24.749,-12.113,0.68166,-27.593,-9.3432,-2.2789,-8.3441,6.4911,13.06,22.347,-12.008,0.73596,-6.3861,1.058,-21.242,16.252,-3.4493,6.2139,-9.9403
"316",-42.532,89.468,-42.041,24.586,1.2675,15.207,50.867,-32.525,7.1018,30.167,6.9386,15.12,-11.217,14.201,-10.595,0.8394,2.7779,2.6138,16.877,-9.1261,19.126,-5.8974,8.73,-5.7538,-22.82,-14.53,-10.72,-1.3659,4.8942,-5.0864
"317",-2.411,87.101,-45.928,7.9384,8.0958,32.541,44.736,-5.4475,13.104,29.617,5.0206,9.1051,0.77478,10.342,13.828,-1.0315,-0.96301,1.1433,23.698,4.6061,22.997,12.163,-0.51126,-19.195,-9.1218,3.0428,10.999,1.2163,17.933,-7.0137
"318",8.2404,82.509,-65.897,-12.436,28.917,-13.05,17.83,-18.296,-6.2044,4.4291,-6.9599,9.7738,-11.225,4.4069,14.436,1.739,15.193,-12.815,21.076,8.8087,26.02,10.27,13.696,-33.371,-6.1515,-23.56,5.3265,-3.4308,-17.422,1.0504
"319",111.08,-41.665,-41.866,20.837,-9.3564,-10.95,23.553,-49.816,-9.2707,24.531,8.6945,6.7216,-25.951,7.2327,-26.867,-8.5566,8.7853,2.256,15.348,-0.93232,2.236,-10.372,10.096,11.559,-20.572,-15.87,7.1948,4.5391,3.7837,12.729
"320",127.05,-64.174,-40.937,14.847,5.5337,-17.361,35.458,-54.973,29.106,-1.4695,-1.4956,9.2381,-14.167,3.534,-28.986,-0.50619,-33.806,-17.394,1.3871,7.5273,7.8653,4.3026,5.3216,-4.0371,-6.71,-20.757,9.0555,-17.058,8.2838,-5.0377
"323",-0.17293,88.998,-52.143,3.1515,6.0913,17.345,28.25,-33.475,6.402,30.04,2.5566,5.5481,2.4987,12.603,18.101,1.3048,-1.0053,-6.9766,6.8624,26.217,16.587,5.549,6.7798,-24.885,-14.084,-13.538,-20.616,11.895,-1.9324,-1.7202
"324",110.36,-17.685,-27.661,37.525,-17.15,5.7434,-3.1037,-58.788,15.727,45.912,8.0982,21.551,-18.229,7.0676,-9.8775,4.1075,1.6013,-7.2302,-10.273,15.232,30.087,4.6254,8.937,-17.008,-9.6551,-13.572,6.166,-10.257,7.8894,-20.285
"325",122.52,-40.934,-9.5413,23.437,-14.922,1.2289,11.747,-55.652,-0.20885,25.251,4.3412,10.4,-5.3539,23.133,-25.221,11.858,-4.3101,-7.1057,-11.293,15.499,34.281,14.196,-6.3305,0.83824,-17.546,-5.9751,-7.874,0.35466,5.8448,-11.198
"326",138.24,-36.848,5.4659,10.928,-14.359,-32.794,27.482,-43.66,-7.8629,47.274,-17.334,-23.374,-8.0452,12.625,-7.7519,27.576,11.786,-21.345,2.7688,21.399,46.922,-17.355,20.352,4.0938,-21.765,-17.602,-24.926,6.4625,21.182,4.8633
"327",131.92,-55.434,-2.0346,26.218,-18.516,-21.66,41.862,-57.294,-3.3737,14.365,3.7172,-16.161,-22.282,6.6995,7.2689,15.731,-23.167,-11.855,21.155,16.302,29.229,-9.8027,-9.7274,1.4275,-11.943,-14.099,-15.028,4.4839,5.9205,-10.125
"328",-20.577,87.653,-30.035,16.729,13.018,19.414,65.269,-6.4737,-1.4044,25.295,12.292,15.205,-7.3855,1.7814,-23.791,-4.534,18.114,5.5458,21.084,5.5246,20.314,-6.4451,-4.513,8.5213,-4.9721,16.952,-6.5422,6.2192,31.287,-24.736
"329",126.29,-62.064,-23.13,16.166,-5.9802,-17.778,53.825,-66.421,22.321,12.636,-6.6796,-24.47,-7.3684,23.373,-4.095,24.145,-7.0502,-7.9473,0.33574,-10.982,16.597,9.9239,3.0139,8.2595,-28.762,5.5795,-13.754,1.7972,-17.263,15.717
"331",117.16,-46.585,-38.607,27.166,6.5767,-22.246,11.995,-51.265,17.036,12.733,-9.1147,-15.873,-14.579,15.107,-33.667,6.2414,-4.4895,3.8628,5.3419,2.4826,15.452,-0.023687,-36.786,14.067,-23.726,-2.6196,-29.574,-8.4895,-5.7861,-12.506
"332",127.37,-47.903,-35.435,24.703,-1.5762,-0.23512,36.043,-63.105,14.781,20.448,-28.431,-21.433,-9.2181,36.387,0.22691,24.407,-16.285,3.1816,11.921,-4.1059,15.387,-1.7598,6.6398,12.756,-32.508,-14.117,-24.738,6.2543,-6.3206,3.5678
"334",137.47,-65.733,-34.094,11.919,-3.9183,-14.365,49.759,-49.927,8.9251,17.83,-9.4115,0.040785,-9.6978,27.485,-4.2817,7.9947,-22.346,-2.441,3.2645,1.1235,6.4531,4.4241,3.893,18.828,-27.448,-16.646,-6.2345,-1.3527,-10.856,20.294
"336",110.27,-44.027,-2.8079,13.456,-18.04,-9.0903,15.632,-55.521,11.981,9.799,18.081,24.588,-22.654,17.701,-23.461,7.8433,9.5941,-12.528,-7.5495,24.561,14.319,20.876,-3.1143,3.9909,-29.443,6.0289,-7.9656,-3.7956,-4.0517,-5.7517
"337",-17.798,104.7,-66.922,24.683,-12.473,35.133,61.769,4.7182,9.4615,35.532,11.802,23.347,4.7479,25.035,8.7608,11.225,-6.4225,16.056,25.858,4.7835,37.724,-7.1471,-8.0637,-18.69,-8.7336,-23.848,-0.42106,-9.018,2.8176,-8.8597
"338",134.04,-44.968,-5.2902,19.371,-12.336,-26.258,20.014,-79.937,-21.33,32.636,21.248,-24.466,-11.175,20.898,5.6121,32.165,15.845,1.2028,16.383,16.606,69.749,-11.476,7.5087,-13.913,-26.804,-16.189,-17.896,18.282,11.587,-19.274
"339",126.8,-61.456,-20.662,27.542,18.862,-22.678,48.24,-57.402,-0.194,3.7601,-4.5325,-13.5,-12.39,10.245,-6.8826,16.521,-25.679,-12.815,16.283,-6.5457,6.6139,-8.1238,-5.1029,16.977,-9.9152,-12.056,-19.603,-0.47495,-1.8149,2.5659
"341",123.62,-66.613,-16.269,18.706,-18.106,-16.863,42.063,-58.938,43.288,2.5491,-9.4308,7.0208,-5.9542,18.286,-17.428,5.8827,-20.79,-25.384,4.4709,19.954,13.834,24.331,10.713,-4.0692,-0.59925,-8.2613,-5.0605,-13.667,8.4632,-4.5102
"342",125.2,-57.699,-40.474,7.5187,-9.2973,-17.268,32.307,-52.288,9.8426,32.46,0.80534,-14.287,-9.7602,29.242,1.8239,10.536,-25.556,-1.6737,-0.4675,9.3238,26.937,10.88,-5.3327,1.9993,-12.963,-1.746,-15.759,16.114,0.75785,8.3114
"343",-29.285,94.652,-35.263,14.378,-12.531,18.82,42.855,-50.424,8.3933,21.621,4.696,-3.984,0.033341,4.583,-10.189,31.77,2.9622,-18.801,9.5081,11.935,20.931,-4.1373,-7.5413,-24.999,-18.986,-10.1,5.6739,-14.46,-22.392,7.0372
"344",11.525,60.904,-86.44,17.27,-4.4849,-6.7921,13.817,-9.6922,9.2873,12.243,2.6799,6.514,-8.2579,-0.20254,3.7865,19.452,-10.202,-9.8256,5.6472,1.2326,16.157,3.6751,-20.091,0.16516,-0.31864,-0.55782,-16.003,0.11856,5.2193,4.2998
"345",-32.643,83.629,-67.044,34.784,-16.948,-6.0559,27.335,-48.278,20.1,17.132,4.0545,-9.059,-6.6198,-8.6007,-19.184,20.155,4.4308,-27.128,16.355,4.9605,25.112,3.7247,-11.886,-13.56,1.1209,-2.128,-1.2313,-6.8828,1.5627,-5.5898
