"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",0.22297,0.25352,0.47029,0.84076,1.4401,1.9734,2.5856,3.7048,4.7776,6.4479,9.2829,12.646,16.035,16.842,11.568,1.8692,-5.0487,-7.561,-7.5363,-6.2378,-4.6844,-4.7663,-7.3709,-7.457,-3.8426,-4.4669,-9.6404,-10.248,-10.553,-13.361,-14.174,-11.745,-7.4196,-2.6157,-2.0876,-5.4556,-7.3001,-10.142,-13.426,-16.297,-18.275,-21.766,-25.772,-28.511,-18.428,2.0571,11.819,16.546,15.016,4.4423,-3.6176,-0.88743,3.8034,6.2293,16.575,20.304,5.2351,-4.2921,-7.3866,-9.6278,-2.0097,8.0039,13.4,11.306,8.0354,7.4496,5.5029,4.2354,5.7983,8.7276,-1.454,-3.3712,3.6732,11.716,13.961,10.74,16.883,14.117,-1.171,-3.6611,-3.4285,-4.5694,-7.0711,-8.8682,-6.784,-3.667,-1.535,-0.50274,-0.54281,-0.9199,-2.4199,-5.0835,-5.9192,-6.1681,-7.5507,-9.6914,-10.389,-9.0115,-18.472,-22.56,-2.0511,-2.0514,-1.9533,-1.5449,-0.39478,-1.397,-2.4163,-1.0422,-2.5461,-3.8141,-2.3392,-1.486,-11.221,-20.178,-20.828,-17.948,-14.159,-14.165,-17.799,-23.224,-24.862,-23.952,-23.835,-21.181,-14.189,-9.5765,-12.363,-15.344,-14.959,-14.473,-12.101,-7.7388,-3.5595,-2.8549,-3.6119,-3.1503,-3.479,-2.8922,-2.296,-2.148,-2.6938,-3.4594,-1.882,16.049,30.371,19.618,-3.9913,-16.53,-5.0933,14.405,24.127,24.442,17.337,2.8984,-12.701,-10.541,10.424,20.159,23.085,26.619,22.854,7.7844,-1.4405,12.578,25.972,25.962,18.399,8.3817,-7.1468,3.4758,23.141,26.179,13.215,4.0616,1.276,3.9918,10.715,8.9713,3.519,0.13267,-2.3659,-2.9199,-2.8534,-3.1545,-3.3063,-4.0417,-5.059,-5.6637,-7.4197,-8.3453,-7.6922,-4.3203,-0.64876,1.4887,2.7306,1.1923,-4.3791,-7.3826,11.241,18.607
"2",3.4897,3.5202,3.737,4.1075,4.796,5.5275,5.447,6.2887,7.7893,8.0331,9.051,9.9107,9.995,10.515,5.0855,-2.0093,-6.4835,-10.441,-13.407,-18.026,-20.547,-20.344,-22.256,-21.416,-16.93,-16.777,-26.106,-31.698,35.876,64.524,68.786,67.33,37.489,23.88,5.6713,-10.378,-12.979,-8.9909,-11.102,-11.881,-13.268,-19.66,-26.555,-28.411,-28.285,-20.87,-6.9231,4.7101,9.0444,1.3864,-13.422,-20.533,-14.739,-11.508,-8.5355,5.7894,6.0188,-20.064,-31.15,-23.668,-18.067,-13.32,-4.2928,5.1631,8.6074,10.961,15.805,14.328,4.7099,2.5553,4.7529,7.4485,8.1621,9.043,15.162,18.499,9.5688,4.6852,10.753,13.638,10.204,7.2933,6.5228,4.8443,3.5283,1.9926,-0.42726,-2.6622,-1.5391,0.19902,-1.099,-2.6803,-5.1757,-8.0558,-9.7098,-10.57,-9.4791,-8.1922,31.177,43.78,-2.3224,-2.3227,-2.2245,-1.8162,-0.66984,1.3042,-1.8262,-4.3992,-2.979,-5.0867,-6.6934,-8.5076,-10.944,-11.751,-18.781,-23.604,-22.169,-19.352,-14.496,-16.033,-17.087,-12.968,-12.217,-10.252,-2.8775,1.6713,-7.3722,-14.281,25.461,22.496,35.999,37.449,10.688,13.099,12.908,9.6676,1.8103,-7.2684,-7.2528,-6.9481,-7.1265,-6.0416,-3.0632,3.8117,17.971,23.13,9.0231,-2.42,0.66749,12.578,24.819,31.088,30.374,18.934,1.6068,-0.22106,10.95,20.362,16.222,11.445,15.678,16.222,11.339,2.5934,-2.661,5.8024,14.18,9.8181,-6.9555,-9.4016,-4.9962,4.1698,10.443,10.786,5.6636,0.89039,-6.1901,-7.7213,-4.127,-4.1894,-7.3466,-10.1,-7.6233,-4.5879,-6.4875,-8.0876,-9.3476,-10.539,-9.0329,-6.8926,-6.0102,-5.013,-4.9061,-5.5639,-7.6775,-11.29,-14.62,-12.191,-32.922,-42.526
"3",-10.731,-10.7,-10.483,-10.113,-9.4244,-8.47,-7.6113,-6.3452,-4.5416,-2.4475,0.15468,3.2716,6.8538,10.832,15.096,1.7848,-5.9213,-5.4004,-2.1302,-1.3513,-8.1475,-26.372,-26.928,-14.861,-15.707,-11.95,-40.687,-38.286,-0.26111,-7.3247,-14.371,-14.053,-6.2104,2.336,6.6056,4.7594,4.8677,5.7051,5.4442,7.3291,7.5863,7.5738,4.5097,-1.4602,-7.6284,-12.025,-11.465,-7.2512,-3.1308,2.351,4.7089,2.8393,0.43084,-2.3682,-1.3748,2.5774,11.055,17.548,16.817,11.796,5.8409,2.3603,1.744,8.7948,13.289,8.4447,10.751,12.534,-5.0321,-3.2247,8.7604,16.564,16.133,12.558,10.069,9.9792,9.6101,8.2632,6.3701,2.9943,0.048596,0.051017,1.5819,2.4769,4.7905,6.4744,5.4281,3.8642,5.5087,9.0445,10.081,9.0776,7.5065,7.0421,7.5938,6.3862,5.9209,-0.76683,-21.248,-29.952,14.224,14.224,14.322,14.73,15.876,17.888,19.526,20.893,22.337,23.744,25.241,26.123,25.856,24.224,21.299,7.2125,-0.14287,3.5276,10.094,27.634,21.303,-18.17,-10.787,6.1806,4.9915,13.014,-18.328,-28.531,-6.2599,-13.11,-17.597,-15.633,-7.3495,-2.3066,0.24402,2.7917,4.0327,5.4114,5.4534,4.6384,4.6387,3.5076,1.7273,2.5524,5.7377,4.2586,-5.5715,-14.384,-17.518,-16.754,-16.268,-12.12,-1.8794,5.6486,2.3872,-8.4416,-15.381,-13.219,-8.6766,-4.4287,1.0222,4.2623,0.3904,-9.2099,-19.306,-20.769,-46.82,-38.783,25.338,30.157,27.777,15.833,-1.484,-8.4351,-6.7066,-2.9127,-2.5347,-3.7972,-4.3472,-5.7716,-3.9229,-1.5437,-3.0534,-4.9954,-2.6572,0.51537,-1.4605,-3.3753,-1.1533,1.2713,-0.78948,-0.84463,-3.5987,-3.2159,-0.23009,-2.0475,-1.1436,10.46,43.524,56.157
"4",4.264,4.2946,4.5114,4.8818,5.8291,11.222,15.377,16.291,16.027,13.131,6.765,0.53299,-1.5492,-6.4324,-9.3788,-7.1919,-5.0206,-4.877,-8.5044,-11.093,-9.7713,-9.4062,-11.208,-9.7074,-6.484,-8.9638,-11.41,-10.459,-14.289,-17.851,-18.068,-14.647,-6.3977,0.0048542,-1.9724,-5.6828,-5.7445,-4.6875,-5.1887,-6.2466,-9.8151,-11.497,-14.358,-21.546,-22.484,4.5546,14.88,8.3224,-6.6942,-11.721,-10.723,-6.5369,-1.2795,0.99814,3.614,-3.4001,-21.257,-27.901,-17.512,-11.837,-4.5246,-0.76064,4.4412,3.7951,-5.5881,-7.1163,0.22094,0.47858,-8.1994,-0.48183,1.3303,2.5414,24.364,29.717,25.388,20.913,18.903,11.887,-0.052217,-3.0144,2.5894,9.2401,11.325,7.4179,4.8773,5.2312,4.491,0.72737,-1.6363,-1.1506,-2.0703,-2.7724,-3.881,-5.7098,-6.6742,-5.9413,-2.7823,-1.3009,28.191,38.63,-1.1836,-1.1839,-1.0857,-0.67736,0.55439,1.0292,1.2402,2.4443,-1.953,-5.8181,-5.0016,-2.7476,-0.88198,-6.3507,-12.113,-14.246,-18.105,-20.944,-19.621,-16.651,-12.792,-11.693,-12.821,-9.2662,-1.7611,0.1794,-8.6164,-16.649,-18.135,-18.35,-14.694,-8.8664,-6.8258,-5.5444,-2.0416,1.688,1.099,-1.8372,-0.89254,-1.0321,-0.57917,0.63658,1.4087,7.7045,15.98,8.4389,-13.219,-9.2502,19.094,28.752,25.135,17.047,12.072,2.8704,-3.0016,17.031,32.799,26.035,15.93,17.907,15.474,9.8369,27.434,47.243,41.859,29.315,33.89,24.945,6.3471,10.36,23.381,28.914,1.1132,-15.642,-6.3252,0.97347,-2.9695,-6.3774,-8.6647,-7.2461,-5.0526,-6.1374,-8.0104,-7.5766,-4.0056,-3.0758,-5.1144,-5.2827,-1.9109,0.82095,3.1997,4.6192,1.9135,-2.3141,-7.2557,-14.624,-20.851,-17.577,-21.875,-25.503
"5",-2.395,-2.3645,-2.1477,-1.7772,-1.1282,-0.93149,-0.65842,0.53965,0.84109,1.0482,2.1531,0.14749,-2.8654,-5.2525,-6.6942,-6.6098,-6.8345,-7.4764,-7.1355,-7.4676,-7.1247,-5.4634,-5.996,-5.8414,-2.6618,-3.3263,-9.0059,-7.7584,-4.654,-7.9793,-9.3601,-6.7821,-0.86619,2.5442,0.47926,-1.6012,-1.5508,-3.2718,-5.3241,-5.8655,-7.1017,-10.574,-13.191,-13.414,-9.6781,0.32714,8.0131,11.28,6.7333,0.43491,-0.98951,-1.7012,-2.2788,-4.4514,1.4749,7.9624,9.8449,10.567,10.038,8.7522,6.0821,5.6434,5.4457,5.8831,2.1261,-1.9397,3.6549,1.9416,-8.1956,-5.3675,2.5527,6.9183,8.6426,6.0174,2.4355,8.2362,16.903,14.098,2.5646,-3.3636,-3.0548,0.76273,7.0833,7.8185,4.021,0.11539,-2.8185,-4.8989,-5.173,-2.9358,-0.50903,-0.45108,-1.0806,-2.3112,-3.8511,-4.5566,-3.9683,-4.1823,-5.6036,-5.0211,-0.70962,-0.70989,-0.61173,-0.20338,0.94633,0.172,-0.64782,0.72793,-3.0063,-5.8122,-3.961,-7.9349,-11.119,-8.9367,-7.2397,-6.844,-8.8913,-11.416,-13.721,-17.748,-16.668,-12.958,-13.866,-15.098,-12.115,-8.7166,-8.477,-11.062,-13,-13.53,-12.025,-7.7444,-4.3992,-1.5211,1.7421,0.88507,-1.0806,0.23205,0.2811,0.28365,-0.26789,5.1035,10.544,13.325,15.833,13.328,2.8477,-3.3805,0.96018,5.0162,8.1132,10.543,11.977,9.0586,6.8601,5.3616,7.1851,10.953,12.41,14.233,16.557,20.31,21.791,20.689,18.965,24.439,30.967,25.455,9.6959,7.7296,7.35,10.638,8.8014,-3.7784,-6.9379,-1.1641,3.2386,0.51071,-1.9436,-0.98041,-1.6759,-2.9149,-4.764,-6.6909,-2.9676,2.8164,2.9556,2.917,2.5805,2.932,2.9693,2.3441,0.74086,-2.3218,-4.8935,-8.1501,-10.082,-13.712,-9.2777,-8.1095
"6",2.2761,2.3066,2.5234,2.8939,3.5824,1.4023,-0.22988,1.0362,-6.4946,-13.07,-14.716,-14.399,-11.82,-10.589,-9.2014,-7.254,-8.0352,-9.0621,-8.1672,-5.9981,-3.2179,-3.4331,-5.765,-15.652,-20.362,-12.301,-4.754,-5.4114,-5.7574,-8.768,-9.6157,-6.785,1.605,8.5049,7.1315,5.3038,4.6161,2.9333,2.8417,1.8532,3.4979,5.7268,4.8869,13.55,17.683,13.764,10.554,9.05,7.7224,7.2795,10.225,17.002,19.281,17.666,11.467,-3.5132,-5.9909,2.251,9.5411,10.951,6.5368,3.0171,-1.4386,-0.88996,0.9851,0.91074,5.9682,4.2979,-5.4678,-2.8945,2.6597,6.1452,9.1344,3.8267,0.56648,7.3643,17.857,20.186,9.3034,-5.6236,-11.782,-14.255,-12.585,-7.679,-1.4658,-0.14702,-2.5681,-3.1066,-2.279,-1.6462,-1.7076,-2.5734,-0.98341,0.76038,1.9556,3.7505,3.2865,2.3451,-12.627,-21.331,-0.47394,-0.4742,-0.37605,0.032303,1.1786,0.46434,-0.12995,1.2372,-2.4004,-3.3842,1.2673,4.6376,5.3575,-0.66841,-7.0204,-8.0807,-6.2691,-3.8765,-4.4366,-7.9773,-8.5079,-3.3399,-1.6853,-14.314,-18.826,-6.3692,3.2584,0.2228,-2.1041,-2.7949,-1.132,3.0562,3.1712,2.4498,5.7589,5.6422,4.2374,5.142,5.4135,4.8655,7.4544,8.2637,5.607,-1.812,-12.439,-12.714,-0.7882,6.4722,10.606,12.847,9.2247,-3.4318,-19.382,-22.547,-13.6,-5.1179,-2.6568,0.043327,-2.3414,-10.09,-12.519,3.9197,19.585,20.324,14.382,18.172,25.323,19.925,3.9026,3.0956,6.7425,10.28,-0.17682,-12.797,-10.235,-2.8018,3.3549,3.9521,3.5076,3.2063,1.6145,2.5677,2.1414,-0.59692,-2.5042,-2.4551,-1.161,-0.80989,-2.8125,-3.8913,-4.3914,-4.7931,-4.2583,-4.248,-6.4214,-7.4873,-6.6545,-5.3936,19.342,31.975
"7",12.756,12.787,13.003,13.374,13.988,17.265,20.217,19.507,18.15,17.945,14.784,9.2743,4.2967,2.4766,1.8758,-2.0894,-6.1574,-7.7729,-8.6105,-9.2312,-14.498,-19.512,-21.504,-17.752,-10.395,-11.139,-13.661,-13.026,-16.397,-20.446,-22.091,-19.705,-11.156,-4.6452,-4.702,-6.7018,-10.413,-11.063,-10.5,-12.083,-14.815,-17.327,-21.909,-30.752,-23.39,-1.2068,20.326,22.132,3.4099,-10.637,-10.708,-2.6151,3.4361,5.6553,8.4404,17.579,13.541,-15.389,-32.295,-34.13,-25.156,2.3923,9.162,-0.82702,-9.5159,-9.5374,-1.1272,0.31856,-7.3475,4.8164,9.6605,-3.5384,9.4801,22.734,18.003,27.747,42.274,29.323,-0.87298,0.77808,9.8056,15.175,13.712,7.4584,2.5791,-1.1673,-3.645,-4.8466,-5.0353,-5.7418,-7.5109,-9.3449,-8.8423,-8.4446,-9.8683,-10.873,-10.962,-12.499,22.108,49.05,0.42734,0.42707,0.52523,0.93358,2.0217,-0.44219,-2.4644,-2.0971,-2.0789,-1.4663,-8.1832,-13.496,-12.591,-12.184,-12.615,-17.278,-21.944,-23.275,-25.59,-27.187,-20.634,-12.271,-10.854,-10.989,-5.9335,-3.3938,-9.6525,-15.06,-15.621,-16.619,-15.083,-10.51,-8.4431,-7.3589,-6.0001,-4.9076,-2.8293,-2.6106,-2.7277,-2.986,-4.141,-2.1018,0.98027,4.709,29.936,31.114,-16.772,-19.269,24.471,32.286,24.103,21.284,16.218,6.9638,-5.5649,-4.2299,13.585,29.716,25.65,17.463,21.676,22.616,29.406,40.348,39.075,36.177,40.856,31.179,10.947,9.4887,20.812,39.528,33.525,-0.56185,-13.479,-9.9662,-2.9265,-1.5981,-6.0635,-6.8552,-6.7701,-8.0352,-6.2729,-3.9147,-5.3471,-6.0124,-6.8897,-8.3509,-7.9213,-5.4695,-2.2875,2.5485,4.0651,2.3117,1.2923,-0.4844,-1.9616,-23.793,-23.212,-9.7697
"9",11.669,11.7,11.917,12.287,13.032,17.443,21.108,19.1,15.63,14.768,12.263,11,9.4569,7.0968,6.5277,6.7954,5.9123,3.6631,-10.476,-21.219,-19.825,-13.928,-12.494,-13.353,-9.6792,-10.307,-11.276,-8.7136,-11.837,-15.281,-16.005,-10.257,-1.7101,1.1324,0.43607,-2.232,-3.5989,-1.9772,-2.3197,-4.2176,-6.9494,-11.322,-17.304,-21.246,-21.6,-17.671,2.8029,15.903,9.2592,0.64882,0.55162,3.8449,7.1015,8.3424,10.566,0.21808,-2.5584,-3.2075,-2.7183,-6.3765,-7.6368,-5.3865,-13.957,-16.626,-7.5781,-0.2038,7.3845,5.742,-12.964,-19.542,-7.534,1.3981,4.1472,4.9329,6.6733,7.8288,-7.2607,2.7295,29.888,19.857,7.0707,11.904,11.065,3.5242,-0.47558,-2.8845,-3.9218,-4.3328,-1.9991,1.139,0.63383,-1.0739,-3.6058,-0.84804,4.4121,3.0921,2.6281,-7.8316,-12.903,-3.0977,0.24044,0.24018,0.33833,0.74668,1.8868,-0.07612,-1.7765,-2.3153,-3.4126,-3.0289,-4.4224,-5.7017,-10.857,-15.975,-17.131,-19.17,-21.525,-23.376,-22.832,-17.877,-20.111,-30.025,-29.611,-22.458,-12.707,-7.9198,-14.182,-20.819,-20.812,-20.614,-17.509,-14.018,-10.681,-5.8988,-1.3921,3.0112,1.5468,-0.94678,-0.012691,-0.60657,-1.7616,4.3282,10.27,17.014,25.578,24.89,9.3931,-0.81537,14.254,23.219,18.433,16.73,12.448,3.6786,-7.7315,43.714,56.797,45.135,37.532,21.251,24.251,22.102,59.38,58.722,18.632,23.625,22.032,7.7104,34.222,36.191,7.1436,6.0309,9.7491,12.738,17.198,-11.381,-31.188,-28.937,-21.438,-19.454,-17.675,-19.583,-12.981,-4.2756,-5.2296,-6.0958,-7.6851,-9.7182,-9.013,-8.3187,-9.1119,-9.0163,-10.185,-9.9468,-9.128,-10.489,-9.656,-22.304,-15.303,-10.484
"10",5.9221,5.9527,6.1694,6.5399,7.1571,8.1845,9.2508,10.209,9.5454,5.4298,-0.51764,-3.2511,-3.5775,-2.3583,-3.4705,-4.9776,-5.8959,-7.4937,-8.0489,-7.9891,-6.8564,-6.5893,-8.3089,-6.6799,-1.4318,-0.84615,-7.3287,-11.815,-11.789,-12.484,-14.488,-13.292,-10.813,-11.409,-11.885,-12.714,-14.692,-13.126,-12.379,-11.64,-9.6411,-10.599,-12.427,-2.8032,15.162,22.994,19.947,8.3881,-3.3869,-4.8373,-1.7146,1.2894,3.9333,4.8236,11.055,4.1889,-13.04,-7.7441,12.341,17.16,4.2413,-7.8506,-7.4264,-6.8286,-8.0638,-4.2122,2.2699,1.7833,-2.0902,-5.8748,-13.845,-1.435,10.926,14.971,15.532,11.738,14.001,11.091,-1.1803,-3.3613,4.6719,10.117,9.8772,8.0143,6.6522,5.3772,4.2641,3.7869,1.2469,-0.4654,-1.4286,-2.08,-3.1459,-7.9756,-11.96,-12.3,-9.9552,-5.9543,9.6406,13.628,-1.2854,-1.2857,-1.1875,-0.77916,0.3452,-0.86971,-2.0195,-0.70743,-8.0018,-13.248,-10.586,-7.94,-6.4055,-6.3979,-10.676,-14.752,-14.92,-14.902,-15.634,-16.815,-14.707,-12.352,-12.589,-10.463,-3.7294,0.634,-2.3648,-5.222,-8.2255,-12.132,-11.224,-8.3048,-6.555,-6.5316,-8.3379,-8.1769,-6.3462,-3.0313,-0.0024429,1.2937,2.9483,4.6671,7.0737,20.47,16.83,-13.288,-14.264,12.209,27.599,24.021,12.267,10.233,6.0276,-3.4464,-4.6285,9.1051,19.886,23.432,18.759,12.987,22.753,33.296,30.682,20.374,14.332,24.222,28.817,20.011,7.5559,14.738,22.03,17.352,2.2887,-0.091357,1.3225,-1.5415,-1.2372,-3.5608,-7.7726,-6.3612,-3.9861,-5.2461,-7.4322,-3.3159,1.9371,0.19099,1.0921,2.1297,1.2201,0.82239,2.9981,4.2685,2.0128,-0.26952,-3.845,-9.8918,-16.906,-18.994,-30.263,-38.059
"11",0.48664,0.51718,0.73395,1.1044,1.7992,3.0597,4.1777,5.5214,8.1453,10.836,13.48,15.041,15.164,8.4103,0.14711,-5.9514,-7.8226,-7.2486,-4.7249,-2.7019,-4.0989,-5.754,-8.0208,-7.7899,-4.2771,-4.7174,-7.4045,-6.9816,-9.6475,-13.847,-15.939,-12.311,-4.7825,0.050475,-2.1189,-6.0534,-8.8183,-12.418,-15.361,-18.117,-19.088,-17.762,-20.604,-16.334,-3.9879,10.407,18.229,19.409,2.1121,-9.436,-7.8569,-2.2511,1.7142,3.2538,14.246,11.083,-15.281,-20.562,-14.746,-10.76,-4.7786,-0.87038,13.792,6.3647,-13.685,-2.1765,8.5393,8.6707,-0.81098,12.378,10.019,-4.5103,5.7239,8.1222,7.4646,10.843,18.146,24.753,18.626,0.029703,-3.1555,4.65,8.1682,5.7475,3.8257,1.8562,-1.9196,-5.6328,-6.1734,-4.8732,-4.5596,-5.8916,-8.4399,-10.914,-12.362,-9.069,-4.0196,-7.8948,-4.6391,8.73,-2.5934,-2.5937,-2.4955,-2.0872,-0.94623,-2.1143,-3.268,-1.8948,-3.4967,-4.8481,-5.9094,-7.4159,-7.5266,-15.532,-20.896,-17.808,-15.341,-16.06,-23.678,-30.557,-23.162,-12.913,-12.563,-13.569,-9.5751,-6.1602,-10.018,-13.274,-13.05,-14.401,-13.633,-9.0334,-2.8204,3.2907,6.2073,1.9069,-5.0881,-5.4051,-4.5998,-4.4782,-4.115,-1.3024,0.88548,19.286,30.029,11.833,-18.109,-9.5031,22.78,26.624,17.649,15.236,10.846,1.7077,-8.2927,1.306,18.329,18.645,15.699,18.848,17.908,11.656,12.085,38.917,45.106,27.178,23.54,9.4967,-12.151,-2.5851,27.214,35.366,9.268,3.0916,3.8836,-1.0463,-3.3798,0.8436,1.9043,-2.1759,-4.5903,-6.1636,-5.4418,-4.5734,-4.387,-3.4223,-3.3988,-2.9605,-3.9444,-5.802,-5.4259,-2.4853,-0.13023,1.1057,0.82865,-3.7572,-7.9999,-20.847,-12.229,-3.9629
