"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",-152.08,-68.493,-103.37,-28.158,3.6153,12.616,46.245,-29.089,29.767,23.641,-17.772,30.237,16.259,-19.307,55.469,-0.30962,-7.7483,29.409,0.53368,-27.159,-24.535,8.785,-1.8304,-35.894,12.733,7.7401,-36.457,-47.443,-20.949,19.51
"2",-161.79,-86.259,-59.248,-16.765,76.194,-34.764,-10.73,-45.327,4.5541,-3.3342,-13.952,-10.832,-73.382,30.95,43.289,-21.008,13.463,31.901,-59.726,30.088,-23.647,-4.2167,-8.6759,-31.172,-12.732,12.962,8.9038,-14.652,-25.009,-16.843
"4",-178.39,-2.415,-12.852,-4.2616,0.07289,-47.864,-58.603,-2.9299,28.88,54.047,33.794,22.843,-9.3068,22.877,10.68,-14.112,24.599,-10.245,8.563,17.105,12.757,-13.033,28.544,-7.5596,4.0523,28.748,-10.229,-9.7047,-13.041,-8.5261
"5",-16.473,-131.12,79.231,-7.6962,-35.169,-40.918,-16.906,12.145,55.635,15.338,-10.055,19.148,-21.178,-5.3903,-4.8213,-42.374,-9.2983,-19.004,-30.028,-26.634,-9.819,4.4884,7.4687,1.8797,-23.32,11.344,-12.461,-8.1231,-24.773,1.1319
"6",-15.327,-136.34,74.44,-31.514,-77.549,7.3484,49.968,41.52,41.351,38.921,27.929,-8.5262,-40.627,-33.635,3.1421,-30.575,-45.293,27.272,-15.193,-36.113,-17.339,-12.725,27.861,-28.838,-0.35189,23.804,-1.9078,9.1332,-14.078,-23.284
"7",-145.1,24.002,22.524,6.8362,-29.468,-6.3114,-48.293,4.5148,31.164,35.167,36.684,35.951,-20.691,13.899,-5.4356,-8.4041,9.9628,-35.137,32.454,18.915,11.18,-17.932,9.7689,-0.79692,12.131,17.063,-5.4303,4.7175,-31.507,20.733
"8",-171.48,-6.1517,-50.862,-53.212,-44.102,-41.029,-10.882,-9.2586,64.886,33.707,22.698,50.775,-27.584,33.528,7.6649,-17.044,-31.143,9.4081,14.451,0.86842,14.444,20.515,28.52,-9.4786,-11.01,23.556,13.282,-44.93,-6.7755,-2.2599
"10",-3.6068,-106.04,81.095,-17.675,-47.366,-37.483,8.3729,32.046,60.636,9.8348,12.16,6.9233,-17.764,-2.3398,17.233,-27.996,-12.884,-12.66,-22.426,-21.705,2.818,11.617,17.972,-0.86543,-3.0037,2.0237,-33.143,-30.359,-22.3,10.566
"12",-181.79,2.5358,-11.262,-32.772,-55.76,-49.715,13.357,-30.421,23.273,32.293,-0.76457,40.656,-4.7342,14.77,28.704,-30.435,-9.894,-13.442,-3.2,-7.9435,-0.47224,22.263,0.67754,-21.865,-12.632,-19.82,-20.583,-6.5337,-19.974,5.7513
"14",-193.37,5.694,7.936,-45.866,-110.15,-23.789,37.821,-15.047,54.449,32.006,-4.9072,8.9347,17.067,34.631,45.067,-12.301,2.1044,-32.815,-31.963,-12.325,-0.76825,18.561,12.657,-10.308,10.352,-28.601,4.9046,-4.1889,-4.2721,15.231
"15",-34.812,-127.75,74.04,-19.667,-67.083,-5.1285,49.88,28.314,65.681,29.154,33.055,-10.356,-22.438,-23.871,16.778,-7.3999,-44.898,13.125,-13.79,-12.707,-15.205,-16.194,9.0127,-31.587,4.9501,-4.9745,5.7168,-22.472,-20.194,-5.3869
"16",-187.82,7.6162,25.687,77.822,-16.349,25.392,-8.2423,-41.425,74.579,31.058,28.475,37.779,-25.311,-0.28734,5.8561,-12.296,0.31338,2.3036,7.0433,38.546,9.2257,-1.0852,27.022,-1.6436,-17.842,14.984,-4.4981,-30.197,-11.715,23.869
"17",-110.35,-58.283,-113.44,-19.73,-17.867,0.99559,36.47,-24.843,14.354,-0.83071,-32.69,13.131,-24.943,-4.592,48.05,17.464,3.2059,18.154,-18.648,15.052,-46.859,14.738,31.443,-50.453,-9.2622,41.978,13.832,-41.391,-33.915,-11.547
"19",-13.428,-116.81,88.601,-36.007,-57.521,-17.438,11.655,43.914,47.676,33.543,28.595,-11.883,-67.044,-11.21,15.433,-29.351,-28.559,10.778,-22.685,-0.28179,-5.579,17.284,31.861,0.69177,12.729,25.885,-16.387,-1.8251,-20.7,9.5107
"20",-24.464,-109.94,88.235,20.287,-48.198,-64.548,4.7676,28.21,63.183,4.3758,-2.9645,3.7675,26.714,0.27553,17.102,-24.731,-35.232,-37.367,-23.073,10.481,8.3188,0.61229,8.2224,-27.692,-18.844,-5.8785,-4.7351,-33.033,-24.028,-17.078
"21",-24.349,-141.27,91.109,-26.746,-39.359,-55.003,-36.098,5.7265,74.962,39.559,13.076,35.364,-24.537,14.091,-5.472,-62.744,-10.433,-25.528,-19.588,-22.239,0.16087,9.2891,25.988,12.222,-32.364,10.332,-1.6046,3.198,-16.226,7.1124
"23",-162.57,2.1385,-32.31,-68.621,-54.882,-50.81,-14.847,-0.039358,77.698,25.121,10.675,41.594,-15.227,34.71,-4.3284,-13.11,-31.686,18.725,10.833,-16.375,13.025,17.114,22.117,-8.1488,-15.218,19.409,20.423,-55.465,8.9563,-2.2709
