"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"3",-12.369,-142.62,70.661,-33.898,-68.015,17.698,48.224,41.571,27.859,30.797,35.168,9.0693,-50.161,-47.487,2.9844,-29.048,-36.648,14.305,-10.289,-15.25,-21.921,-14.96,28.512,-40.684,11.197,17.415,-0.59803,9.4941,-12.817,-7.6075
"5",-16.473,-131.12,79.231,-7.6962,-35.169,-40.918,-16.906,12.145,55.635,15.338,-10.055,19.148,-21.178,-5.3903,-4.8213,-42.374,-9.2983,-19.004,-30.028,-26.634,-9.819,4.4884,7.4687,1.8797,-23.32,11.344,-12.461,-8.1231,-24.773,1.1319
"6",-15.327,-136.34,74.44,-31.514,-77.549,7.3484,49.968,41.52,41.351,38.921,27.929,-8.5262,-40.627,-33.635,3.1421,-30.575,-45.293,27.272,-15.193,-36.113,-17.339,-12.725,27.861,-28.838,-0.35189,23.804,-1.9078,9.1332,-14.078,-23.284
"7",-145.1,24.002,22.524,6.8362,-29.468,-6.3114,-48.293,4.5148,31.164,35.167,36.684,35.951,-20.691,13.899,-5.4356,-8.4041,9.9628,-35.137,32.454,18.915,11.18,-17.932,9.7689,-0.79692,12.131,17.063,-5.4303,4.7175,-31.507,20.733
"8",-171.48,-6.1517,-50.862,-53.212,-44.102,-41.029,-10.882,-9.2586,64.886,33.707,22.698,50.775,-27.584,33.528,7.6649,-17.044,-31.143,9.4081,14.451,0.86842,14.444,20.515,28.52,-9.4786,-11.01,23.556,13.282,-44.93,-6.7755,-2.2599
"9",-27.222,-130.36,76.321,-35.474,-75.585,-6.0546,49.83,34.195,63.783,41.306,23.181,-18.946,-50.616,-18.706,11.555,-41.212,-43.446,5.7013,-27.999,-12.382,-16.91,-17.998,19.366,-30.107,13.86,24.805,-12.079,-8.7249,-16.261,-2.6947
"11",-217.28,-9.4244,-9.6468,-25.999,-64.669,-49.403,-20.947,-10.319,54.488,21.298,30.653,19.638,-14.91,58.798,27.849,-31.191,4.8087,-2.3808,25.448,-28.446,3.3323,-8.9653,24.517,-13.318,2.5517,7.2831,-16.942,-1.577,-8.8239,-7.5746
"12",-181.79,2.5358,-11.262,-32.772,-55.76,-49.715,13.357,-30.421,23.273,32.293,-0.76457,40.656,-4.7342,14.77,28.704,-30.435,-9.894,-13.442,-3.2,-7.9435,-0.47224,22.263,0.67754,-21.865,-12.632,-19.82,-20.583,-6.5337,-19.974,5.7513
"13",-178.77,15.393,9.9648,-7.0616,-40.387,-25.499,-16.58,4.7849,51.299,22.35,32.334,28.874,-5.8839,10.463,17.416,-39.667,19.639,-6.3158,5.7644,20.611,4.2564,-4.396,25.836,-14.175,-3.3854,8.7208,-10.293,0.28173,-19.622,-5.7553
"14",-193.37,5.694,7.936,-45.866,-110.15,-23.789,37.821,-15.047,54.449,32.006,-4.9072,8.9347,17.067,34.631,45.067,-12.301,2.1044,-32.815,-31.963,-12.325,-0.76825,18.561,12.657,-10.308,10.352,-28.601,4.9046,-4.1889,-4.2721,15.231
"15",-34.812,-127.75,74.04,-19.667,-67.083,-5.1285,49.88,28.314,65.681,29.154,33.055,-10.356,-22.438,-23.871,16.778,-7.3999,-44.898,13.125,-13.79,-12.707,-15.205,-16.194,9.0127,-31.587,4.9501,-4.9745,5.7168,-22.472,-20.194,-5.3869
"17",-110.35,-58.283,-113.44,-19.73,-17.867,0.99559,36.47,-24.843,14.354,-0.83071,-32.69,13.131,-24.943,-4.592,48.05,17.464,3.2059,18.154,-18.648,15.052,-46.859,14.738,31.443,-50.453,-9.2622,41.978,13.832,-41.391,-33.915,-11.547
"18",-160.25,-84.567,-69.396,-17.557,46.692,-13.876,18.936,-61.039,-4.7748,-5.6881,-22.056,-10.457,-53.338,30.81,57.975,-25.962,15.707,-1.1656,-52.1,12.675,-25.977,2.5214,-0.17785,-32.084,1.3606,27.076,24.566,-31.986,-37.579,-11.058
"19",-13.428,-116.81,88.601,-36.007,-57.521,-17.438,11.655,43.914,47.676,33.543,28.595,-11.883,-67.044,-11.21,15.433,-29.351,-28.559,10.778,-22.685,-0.28179,-5.579,17.284,31.861,0.69177,12.729,25.885,-16.387,-1.8251,-20.7,9.5107
"20",-24.464,-109.94,88.235,20.287,-48.198,-64.548,4.7676,28.21,63.183,4.3758,-2.9645,3.7675,26.714,0.27553,17.102,-24.731,-35.232,-37.367,-23.073,10.481,8.3188,0.61229,8.2224,-27.692,-18.844,-5.8785,-4.7351,-33.033,-24.028,-17.078
"21",-24.349,-141.27,91.109,-26.746,-39.359,-55.003,-36.098,5.7265,74.962,39.559,13.076,35.364,-24.537,14.091,-5.472,-62.744,-10.433,-25.528,-19.588,-22.239,0.16087,9.2891,25.988,12.222,-32.364,10.332,-1.6046,3.198,-16.226,7.1124
"22",-174.58,1.2741,-16.146,-47.739,-57.074,-38.33,-11.986,-20.274,35.355,19.803,32.827,44.436,-18.292,23.62,2.1387,-19.955,0.88859,5.7794,14.385,-6.5804,5.0453,30.372,17.253,-14.408,-17.802,1.1414,-0.092257,-26.975,-10.115,9.0697
"24",-1.3936,-129.39,12.791,-40.431,-26.205,35.495,16.783,-53.938,13.819,9.2865,6.7364,5.2661,-38.481,21.732,-38.037,-23.794,4.2866,-10.797,-31.475,2.9536,-6.2958,-15.603,12.907,-19.064,1.9651,12.901,3.2869,-1.4518,-15.328,2.5728
"26",-179.04,-91.853,-61.875,-30.725,99.28,-16.533,23.971,-58.389,12.396,0.73726,-27.727,6.6186,-32.073,13.548,42.303,-12.298,18.365,3.3367,-36.027,-1.6139,-16.557,-6.2061,-27.516,-7.1415,-25.383,-15.175,-0.32206,-27.434,-27.045,-7.9763
"27",-162.81,12.628,-11.145,11.163,-65.608,-39.006,-24.488,-11.029,54.934,14.438,-1.696,43.65,-3.1775,-9.7433,27.409,-24.397,25.477,0.1247,-13.341,21.67,-27.466,17.003,33.372,-16.127,-7.8148,5.5685,0.38,-12.71,-25.41,5.8075
"28",9.8483,-119.18,87.753,-30.753,-52.306,-38.688,-13.121,16.138,47.608,12.024,-5.0482,18.237,-47.619,-5.8694,2.8709,-60.935,2.8392,-18.658,-21.253,-8.6262,28.117,1.9169,18.981,-5.7804,6.913,27.806,-15.757,-2.7557,-20.414,17.039
"29",-196.3,-1.986,16.385,-28.317,-90.807,1.2798,16.479,-1.5033,29.644,20.74,-2.8485,-20.618,28.582,5.9249,42.389,-20.271,11.618,-10.738,-2.6691,15.775,-5.1984,-15.045,10.499,-34.311,-2.9856,-27.397,-15.22,-24.522,2.4672,-9.6224
"30",-141.63,1.2221,-1.8192,54.67,-71.366,-12.41,-3.7759,13.618,34.222,15.741,-10.084,17.348,-7.2153,-31.958,22.142,-19.412,19.269,-19.819,-10.53,29.978,6.1762,-15.467,0.74843,-34.212,2.5483,-9.4653,-24.082,-8.353,-23.305,-7.2024
"32",-6.9954,-89.813,73.856,5.4368,-41.195,-39.503,-36.081,13.239,27.707,-11.844,-10.608,38.052,24.594,2.742,-0.89616,-16.744,10.567,-13.268,-13.869,9.79,-9.8128,10.473,-12.28,4.7309,-18.545,-13.347,10.98,-12.291,-23.198,-15.721
"33",-137.3,-2.4067,-85.831,-45.573,-23.084,-27.218,-43.527,-4.415,23.654,38.32,5.6562,25.906,-13.169,13.02,-11.081,2.0499,-20.442,15.947,-12.045,30.373,19.56,-7.2825,22.137,-19.091,-7.571,4.6978,0.81019,-26.708,-9.0725,-5.9086
"35",-167.77,-20.521,24.665,37.63,-71.729,-62.988,-9.7831,4.7766,42.158,20.799,-10.625,49.335,2.6433,-18.437,43.89,-16.06,10.579,-27.087,-24.548,29.116,-25.256,12.645,28.335,-30.785,4.0271,-7.1624,-20.035,7.277,-7.3425,3.646
